dID,cID,rID,startPos,finishPos
187,11,19,9,8
176,60,19,5,9
180,59,19,12,10
183,61,19,11,11
107,57,19,17,12
140,61,19,13,13
188,18,19,15,14
181,57,19,14,15
191,18,19,19,16
103,60,19,10,17
193,56,19,18,18
192,56,19,20,19
194,59,19,16,20
174,38,20,2,1
173,7,20,4,2
187,11,20,5,3
156,38,20,9,4
140,61,20,8,5
180,59,20,6,6
136,50,20,7,7
183,61,20,13,8
176,60,20,11,9
181,57,20,10,10
107,57,20,14,11
157,11,20,12,12
103,60,20,17,13
188,18,20,15,14
191,18,20,18,15
194,59,20,16,16
192,56,20,19,17
193,56,20,20,18
161,50,20,3,19
184,7,20,1,20
156,38,21,6,1
140,61,21,11,2
180,59,21,4,3
184,7,21,1,4
187,11,21,9,5
103,60,21,8,6
194,59,21,7,7
173,7,21,5,8
157,11,21,13,9
107,57,21,14,10
181,57,21,20,11
161,50,21,10,12
193,56,21,17,13
192,56,21,18,14
136,50,21,2,15
191,18,21,16,16
188,18,21,15,17
174,38,21,3,18
183,61,21,19,19
176,60,21,12,20
174,38,22,1,1
136,50,22,2,2
156,38,22,4,3
161,50,22,3,4
187,11,22,8,5
157,11,22,10,6
180,59,22,6,7
103,60,22,9,8
140,61,22,12,9
183,61,22,19,10
173,7,22,5,11
188,18,22,14,12
194,59,22,0,13
176,60,22,11,14
181,57,22,13,15
184,7,22,7,16
107,57,22,17,17
191,18,22,16,18
193,56,22,15,19
192,56,22,18,20
174,38,23,1,1
136,50,23,2,2
161,50,23,5,3
156,38,23,4,4
187,11,23,3,5
173,7,23,12,6
184,7,23,7,7
183,61,23,9,8
103,60,23,8,9
194,59,23,11,10
107,57,23,18,11
140,61,23,14,12
157,11,23,13,13
176,60,23,17,14
181,57,23,15,15
193,56,23,19,16
191,18,23,16,17
192,56,23,20,18
188,18,23,10,19
180,59,23,6,20
174,38,24,1,1
161,50,24,5,2
187,11,24,2,3
136,50,24,4,4
173,7,24,10,5
156,38,24,3,6
157,11,24,13,7
184,7,24,12,8
180,59,24,6,9
103,60,24,14,10
188,18,24,8,11
194,59,24,7,12
183,61,24,9,13
181,57,24,15,14
107,57,24,16,15
191,18,24,18,16
140,61,24,11,17
193,56,24,19,18
192,56,24,20,19
176,60,24,17,20
136,50,25,2,1
184,7,25,4,2
161,50,25,3,3
187,11,25,5,4
157,11,25,6,5
173,7,25,10,6
103,60,25,7,7
183,61,25,14,8
176,60,25,9,9
194,59,25,16,10
180,59,25,11,11
188,18,25,12,12
181,57,25,15,13
191,18,25,17,14
107,57,25,13,15
156,38,25,0,16
192,56,25,19,17
193,56,25,18,18
140,61,25,8,19
174,38,25,1,20
176,60,26,8,1
136,50,26,1,2
173,7,26,15,3
103,60,26,9,4
180,59,26,5,5
194,59,26,16,6
191,18,26,18,7
188,18,26,17,8
174,38,26,3,9
107,57,26,13,10
157,11,26,11,11
193,56,26,20,12
181,57,26,0,13
192,56,26,19,14
187,11,26,6,15
161,50,26,2,16
156,38,26,4,17
184,7,26,7,18
183,61,26,12,19
140,61,26,10,20
174,38,27,1,1
188,18,27,2,2
136,50,27,3,3
157,11,27,4,4
140,61,27,5,5
180,59,27,6,6
176,60,27,8,7
184,7,27,9,8
191,18,27,10,9
173,7,27,11,10
103,60,27,12,11
161,50,27,13,12
181,57,27,14,13
187,11,27,15,14
194,59,27,16,15
193,56,27,17,16
192,56,27,18,17
107,57,27,0,18
156,38,27,0,19
183,61,27,19,20
174,38,28,1,1
136,50,28,2,2
161,50,28,3,3
180,59,28,4,4
184,7,28,5,5
103,60,28,9,6
173,7,28,6,7
156,38,28,0,8
176,60,28,8,9
187,11,28,13,10
157,11,28,10,11
183,61,28,12,12
140,61,28,15,13
181,57,28,7,14
131,57,28,16,15
191,18,28,0,16
188,18,28,11,17
193,56,28,17,18
194,59,28,14,19
192,56,28,18,20
157,11,29,2,1
187,11,29,3,2
161,50,29,19,3
184,7,29,5,4
156,38,29,8,5
173,7,29,6,6
183,61,29,9,7
103,60,29,10,8
188,18,29,14,9
176,60,29,12,10
191,18,29,13,11
140,61,29,11,12
181,57,29,7,13
131,57,29,17,14
193,56,29,18,15
192,56,29,16,16
136,50,29,4,17
174,38,29,1,18
180,59,29,0,19
194,59,29,0,20
136,50,30,4,1
174,38,30,20,2
173,7,30,2,3
157,11,30,5,4
161,50,30,16,5
103,60,30,6,6
187,11,30,1,7
107,57,30,13,8
156,38,30,8,9
188,18,30,3,10
183,61,30,7,11
140,61,30,10,12
180,59,30,11,13
176,60,30,9,14
184,7,30,19,15
181,57,30,17,16
194,59,30,12,17
192,56,30,15,18
191,18,30,18,19
193,56,30,14,20
161,50,31,1,1
174,38,31,2,2
156,38,31,6,3
184,7,31,3,4
136,50,31,11,5
180,59,31,4,6
187,11,31,7,7
173,7,31,19,8
183,61,31,8,9
176,60,31,12,10
181,57,31,16,11
107,57,31,17,12
157,11,31,20,13
194,59,31,9,14
188,18,31,13,15
103,60,31,5,16
191,18,31,15,17
140,61,31,10,18
193,56,31,14,19
192,56,31,18,20
136,50,32,2,1
174,38,32,1,2
161,50,32,3,3
187,11,32,7,4
156,38,32,0,5
184,7,32,4,6
157,11,32,6,7
173,7,32,8,8
194,59,32,13,9
183,61,32,10,10
107,57,32,14,11
181,57,32,12,12
176,60,32,16,13
188,18,32,15,14
140,61,32,20,15
193,56,32,18,16
180,59,32,5,17
191,18,32,17,18
103,60,32,9,19
192,56,32,19,20
174,38,33,3,1
136,50,33,1,2
187,11,33,7,3
184,7,33,4,4
173,7,33,11,5
157,11,33,6,6
180,59,33,5,7
183,61,33,10,8
176,60,33,9,9
103,60,33,15,10
156,38,33,2,11
194,59,33,20,12
107,57,33,16,13
181,57,33,17,14
140,61,33,0,15
193,56,33,18,16
192,56,33,19,17
161,50,33,8,18
188,18,33,12,19
191,18,33,14,20
136,50,34,2,1
174,38,34,3,2
161,50,34,1,3
156,38,34,4,4
187,11,34,7,5
184,7,34,8,6
176,60,34,6,7
103,60,34,13,8
157,11,34,16,9
180,59,34,9,10
173,7,34,5,11
181,57,34,12,12
140,61,34,10,13
183,61,34,17,14
194,59,34,14,15
188,18,34,11,16
193,56,34,19,17
191,18,34,18,18
192,56,34,20,19
107,57,34,15,20
136,50,35,1,1
174,38,35,2,2
161,50,35,3,3
184,7,35,4,4
156,38,35,8,5
157,11,35,7,6
173,7,35,6,7
187,11,35,9,8
176,60,35,5,9
180,59,35,12,10
183,61,35,11,11
107,57,35,17,12
140,61,35,13,13
188,18,35,15,14
181,57,35,14,15
191,18,35,19,16
103,60,35,10,17
193,56,35,18,18
192,56,35,20,19
194,59,35,16,20
174,38,36,2,1
173,7,36,4,2
187,11,36,5,3
156,38,36,9,4
140,61,36,8,5
180,59,36,6,6
136,50,36,7,7
183,61,36,13,8
176,60,36,11,9
181,57,36,10,10
107,57,36,14,11
157,11,36,12,12
103,60,36,17,13
188,18,36,15,14
191,18,36,18,15
194,59,36,16,16
192,56,36,19,17
193,56,36,20,18
161,50,36,3,19
184,7,36,1,20
156,38,37,6,1
140,61,37,11,2
180,59,37,4,3
184,7,37,1,4
187,11,37,9,5
103,60,37,8,6
194,59,37,7,7
173,7,37,5,8
157,11,37,13,9
107,57,37,14,10
181,57,37,20,11
161,50,37,10,12
193,56,37,17,13
192,56,37,18,14
136,50,37,2,15
191,18,37,16,16
188,18,37,15,17
174,38,37,3,18
183,61,37,19,19
176,60,37,12,20
174,38,38,1,1
136,50,38,2,2
156,38,38,4,3
161,50,38,3,4
187,11,38,8,5
157,11,38,10,6
180,59,38,6,7
103,60,38,9,8
140,61,38,12,9
183,61,38,19,10
173,7,38,5,11
188,18,38,14,12
194,59,38,0,13
176,60,38,11,14
181,57,38,13,15
184,7,38,7,16
107,57,38,17,17
191,18,38,16,18
193,56,38,15,19
192,56,38,18,20
174,38,39,1,1
136,50,39,2,2
161,50,39,5,3
156,38,39,4,4
187,11,39,3,5
173,7,39,12,6
184,7,39,7,7
183,61,39,9,8
103,60,39,8,9
194,59,39,11,10
107,57,39,18,11
140,61,39,14,12
157,11,39,13,13
176,60,39,17,14
181,57,39,15,15
193,56,39,19,16
191,18,39,16,17
192,56,39,20,18
188,18,39,10,19
180,59,39,6,20
174,38,40,1,1
161,50,40,5,2
187,11,40,2,3
136,50,40,4,4
173,7,40,10,5
156,38,40,3,6
157,11,40,13,7
184,7,40,12,8
180,59,40,6,9
103,60,40,14,10
188,18,40,8,11
194,59,40,7,12
183,61,40,9,13
181,57,40,15,14
107,57,40,16,15
191,18,40,18,16
140,61,40,11,17
193,56,40,19,18
192,56,40,20,19
176,60,40,17,20
136,50,41,2,1
184,7,41,4,2
161,50,41,3,3
187,11,41,5,4
157,11,41,6,5
173,7,41,10,6
103,60,41,7,7
183,61,41,14,8
176,60,41,9,9
194,59,41,16,10
180,59,41,11,11
188,18,41,12,12
181,57,41,15,13
191,18,41,17,14
107,57,41,13,15
156,38,41,0,16
192,56,41,19,17
193,56,41,18,18
140,61,41,8,19
174,38,41,1,20
176,60,42,8,1
136,50,42,1,2
173,7,42,15,3
103,60,42,9,4
180,59,42,5,5
194,59,42,16,6
191,18,42,18,7
188,18,42,17,8
174,38,42,3,9
107,57,42,13,10
157,11,42,11,11
193,56,42,20,12
181,57,42,0,13
192,56,42,19,14
187,11,42,6,15
161,50,42,2,16
156,38,42,4,17
184,7,42,7,18
183,61,42,12,19
140,61,42,10,20
174,38,43,1,1
188,18,43,2,2
136,50,43,3,3
157,11,43,4,4
140,61,43,5,5
180,59,43,6,6
176,60,43,8,7
184,7,43,9,8
191,18,43,10,9
173,7,43,11,10
103,60,43,12,11
161,50,43,13,12
181,57,43,14,13
187,11,43,15,14
194,59,43,16,15
193,56,43,17,16
192,56,43,18,17
107,57,43,0,18
156,38,43,0,19
183,61,43,19,20
174,38,44,1,1
136,50,44,2,2
161,50,44,3,3
180,59,44,4,4
184,7,44,5,5
103,60,44,9,6
173,7,44,6,7
156,38,44,0,8
176,60,44,8,9
187,11,44,13,10
157,11,44,10,11
183,61,44,12,12
140,61,44,15,13
181,57,44,7,14
131,57,44,16,15
191,18,44,0,16
188,18,44,11,17
193,56,44,17,18
194,59,44,14,19
192,56,44,18,20
157,11,45,2,1
187,11,45,3,2
161,50,45,19,3
184,7,45,5,4
156,38,45,8,5
173,7,45,6,6
183,61,45,9,7
103,60,45,10,8
188,18,45,14,9
176,60,45,12,10
191,18,45,13,11
140,61,45,11,12
181,57,45,7,13
131,57,45,17,14
193,56,45,18,15
192,56,45,16,16
136,50,45,4,17
174,38,45,1,18
180,59,45,0,19
194,59,45,0,20
136,50,46,4,1
174,38,46,20,2
173,7,46,2,3
157,11,46,5,4
161,50,46,16,5
103,60,46,6,6
187,11,46,1,7
107,57,46,13,8
156,38,46,8,9
188,18,46,3,10
183,61,46,7,11
140,61,46,10,12
180,59,46,11,13
176,60,46,9,14
184,7,46,19,15
181,57,46,17,16
194,59,46,12,17
192,56,46,15,18
191,18,46,18,19
193,56,46,14,20
161,50,47,1,1
174,38,47,2,2
156,38,47,6,3
184,7,47,3,4
136,50,47,11,5
180,59,47,4,6
187,11,47,7,7
173,7,47,19,8
183,61,47,8,9
176,60,47,12,10
181,57,47,16,11
107,57,47,17,12
157,11,47,20,13
194,59,47,9,14
188,18,47,13,15
103,60,47,5,16
191,18,47,15,17
140,61,47,10,18
193,56,47,14,19
192,56,47,18,20
136,50,48,2,1
174,38,48,1,2
161,50,48,3,3
187,11,48,7,4
156,38,48,0,5
184,7,48,4,6
157,11,48,6,7
173,7,48,8,8
194,59,48,13,9
183,61,48,10,10
107,57,48,14,11
181,57,48,12,12
176,60,48,16,13
188,18,48,15,14
140,61,48,20,15
193,56,48,18,16
180,59,48,5,17
191,18,48,17,18
103,60,48,9,19
192,56,48,19,20
174,38,49,3,1
136,50,49,1,2
187,11,49,7,3
184,7,49,4,4
173,7,49,11,5
157,11,49,6,6
180,59,49,5,7
183,61,49,10,8
176,60,49,9,9
103,60,49,15,10
156,38,49,2,11
194,59,49,20,12
107,57,49,16,13
181,57,49,17,14
140,61,49,0,15
193,56,49,18,16
192,56,49,19,17
161,50,49,8,18
188,18,49,12,19
191,18,49,14,20
136,50,50,2,1
174,38,50,3,2
161,50,50,1,3
156,38,50,4,4
187,11,50,7,5
184,7,50,8,6
176,60,50,6,7
103,60,50,13,8
157,11,50,16,9
180,59,50,9,10
173,7,50,5,11
181,57,50,12,12
140,61,50,10,13
183,61,50,17,14
194,59,50,14,15
188,18,50,11,16
193,56,50,19,17
191,18,50,18,18
192,56,50,20,19
107,57,50,15,20
136,50,51,1,1
174,38,51,2,2
161,50,51,3,3
184,7,51,4,4
156,38,51,8,5
157,11,51,7,6
173,7,51,6,7
187,11,51,9,8
176,60,51,5,9
180,59,51,12,10
183,61,51,11,11
107,57,51,17,12
140,61,51,13,13
188,18,51,15,14
181,57,51,14,15
191,18,51,19,16
103,60,51,10,17
193,56,51,18,18
192,56,51,20,19
194,59,51,16,20
174,38,52,2,1
173,7,52,4,2
187,11,52,5,3
156,38,52,9,4
140,61,52,8,5
180,59,52,6,6
136,50,52,7,7
183,61,52,13,8
176,60,52,11,9
181,57,52,10,10
107,57,52,14,11
157,11,52,12,12
103,60,52,17,13
188,18,52,15,14
191,18,52,18,15
194,59,52,16,16
192,56,52,19,17
193,56,52,20,18
161,50,52,3,19
184,7,52,1,20
156,38,53,6,1
140,61,53,11,2
180,59,53,4,3
184,7,53,1,4
187,11,53,9,5
103,60,53,8,6
194,59,53,7,7
173,7,53,5,8
157,11,53,13,9
107,57,53,14,10
181,57,53,20,11
161,50,53,10,12
193,56,53,17,13
192,56,53,18,14
136,50,53,2,15
191,18,53,16,16
188,18,53,15,17
174,38,53,3,18
183,61,53,19,19
176,60,53,12,20
174,38,54,1,1
136,50,54,2,2
156,38,54,4,3
161,50,54,3,4
187,11,54,8,5
157,11,54,10,6
180,59,54,6,7
103,60,54,9,8
140,61,54,12,9
183,61,54,19,10
173,7,54,5,11
188,18,54,14,12
194,59,54,0,13
176,60,54,11,14
181,57,54,13,15
184,7,54,7,16
107,57,54,17,17
191,18,54,16,18
193,56,54,15,19
192,56,54,18,20
174,38,55,1,1
136,50,55,2,2
161,50,55,5,3
156,38,55,4,4
187,11,55,3,5
173,7,55,12,6
184,7,55,7,7
183,61,55,9,8
103,60,55,8,9
194,59,55,11,10
107,57,55,18,11
140,61,55,14,12
157,11,55,13,13
176,60,55,17,14
181,57,55,15,15
193,56,55,19,16
191,18,55,16,17
192,56,55,20,18
188,18,55,10,19
180,59,55,6,20
174,38,56,1,1
161,50,56,5,2
187,11,56,2,3
136,50,56,4,4
173,7,56,10,5
156,38,56,3,6
157,11,56,13,7
184,7,56,12,8
180,59,56,6,9
103,60,56,14,10
188,18,56,8,11
194,59,56,7,12
183,61,56,9,13
181,57,56,15,14
107,57,56,16,15
191,18,56,18,16
140,61,56,11,17
193,56,56,19,18
192,56,56,20,19
176,60,56,17,20
136,50,57,2,1
184,7,57,4,2
161,50,57,3,3
187,11,57,5,4
157,11,57,6,5
173,7,57,10,6
103,60,57,7,7
183,61,57,14,8
176,60,57,9,9
194,59,57,16,10
180,59,57,11,11
188,18,57,12,12
181,57,57,15,13
191,18,57,17,14
107,57,57,13,15
156,38,57,0,16
192,56,57,19,17
193,56,57,18,18
140,61,57,8,19
174,38,57,1,20
176,60,58,8,1
136,50,58,1,2
173,7,58,15,3
103,60,58,9,4
180,59,58,5,5
194,59,58,16,6
191,18,58,18,7
188,18,58,17,8
174,38,58,3,9
107,57,58,13,10
157,11,58,11,11
193,56,58,20,12
181,57,58,0,13
192,56,58,19,14
187,11,58,6,15
161,50,58,2,16
156,38,58,4,17
184,7,58,7,18
183,61,58,12,19
140,61,58,10,20
174,38,59,1,1
188,18,59,2,2
136,50,59,3,3
157,11,59,4,4
140,61,59,5,5
180,59,59,6,6
176,60,59,8,7
184,7,59,9,8
191,18,59,10,9
173,7,59,11,10
103,60,59,12,11
161,50,59,13,12
181,57,59,14,13
187,11,59,15,14
194,59,59,16,15
193,56,59,17,16
192,56,59,18,17
107,57,59,0,18
156,38,59,0,19
183,61,59,19,20
174,38,60,1,1
136,50,60,2,2
161,50,60,3,3
180,59,60,4,4
184,7,60,5,5
103,60,60,9,6
173,7,60,6,7
156,38,60,0,8
176,60,60,8,9
187,11,60,13,10
157,11,60,10,11
183,61,60,12,12
140,61,60,15,13
181,57,60,7,14
131,57,60,16,15
191,18,60,0,16
188,18,60,11,17
193,56,60,17,18
194,59,60,14,19
192,56,60,18,20
157,11,61,2,1
187,11,61,3,2
161,50,61,19,3
184,7,61,5,4
156,38,61,8,5
173,7,61,6,6
183,61,61,9,7
103,60,61,10,8
188,18,61,14,9
176,60,61,12,10
191,18,61,13,11
140,61,61,11,12
181,57,61,7,13
131,57,61,17,14
193,56,61,18,15
192,56,61,16,16
136,50,61,4,17
174,38,61,1,18
180,59,61,0,19
194,59,61,0,20
136,50,62,4,1
174,38,62,20,2
173,7,62,2,3
157,11,62,5,4
161,50,62,16,5
103,60,62,6,6
187,11,62,1,7
107,57,62,13,8
156,38,62,8,9
188,18,62,3,10
183,61,62,7,11
140,61,62,10,12
180,59,62,11,13
176,60,62,9,14
184,7,62,19,15
181,57,62,17,16
194,59,62,12,17
192,56,62,15,18
191,18,62,18,19
193,56,62,14,20
161,50,63,1,1
174,38,63,2,2
156,38,63,6,3
184,7,63,3,4
136,50,63,11,5
180,59,63,4,6
187,11,63,7,7
173,7,63,19,8
183,61,63,8,9
176,60,63,12,10
181,57,63,16,11
107,57,63,17,12
157,11,63,20,13
194,59,63,9,14
188,18,63,13,15
103,60,63,5,16
191,18,63,15,17
140,61,63,10,18
193,56,63,14,19
192,56,63,18,20
136,50,64,2,1
174,38,64,1,2
161,50,64,3,3
187,11,64,7,4
156,38,64,0,5
184,7,64,4,6
157,11,64,6,7
173,7,64,8,8
194,59,64,13,9
183,61,64,10,10
107,57,64,14,11
181,57,64,12,12
176,60,64,16,13
188,18,64,15,14
140,61,64,20,15
193,56,64,18,16
180,59,64,5,17
191,18,64,17,18
103,60,64,9,19
192,56,64,19,20
174,38,65,3,1
136,50,65,1,2
187,11,65,7,3
184,7,65,4,4
173,7,65,11,5
157,11,65,6,6
180,59,65,5,7
183,61,65,10,8
176,60,65,9,9
103,60,65,15,10
156,38,65,2,11
194,59,65,20,12
107,57,65,16,13
181,57,65,17,14
140,61,65,0,15
193,56,65,18,16
192,56,65,19,17
161,50,65,8,18
188,18,65,12,19
191,18,65,14,20
136,50,66,2,1
174,38,66,3,2
161,50,66,1,3
156,38,66,4,4
187,11,66,7,5
184,7,66,8,6
176,60,66,6,7
103,60,66,13,8
157,11,66,16,9
180,59,66,9,10
173,7,66,5,11
181,57,66,12,12
140,61,66,10,13
183,61,66,17,14
194,59,66,14,15
188,18,66,11,16
193,56,66,19,17
191,18,66,18,18
192,56,66,20,19
107,57,66,15,20
136,50,67,1,1
174,38,67,2,2
161,50,67,3,3
184,7,67,4,4
156,38,67,8,5
157,11,67,7,6
173,7,67,6,7
187,11,67,9,8
176,60,67,5,9
180,59,67,12,10
183,61,67,11,11
107,57,67,17,12
140,61,67,13,13
188,18,67,15,14
181,57,67,14,15
191,18,67,19,16
103,60,67,10,17
193,56,67,18,18
192,56,67,20,19
194,59,67,16,20
174,38,68,2,1
173,7,68,4,2
187,11,68,5,3
156,38,68,9,4
140,61,68,8,5
180,59,68,6,6
136,50,68,7,7
183,61,68,13,8
176,60,68,11,9
181,57,68,10,10
107,57,68,14,11
157,11,68,12,12
103,60,68,17,13
188,18,68,15,14
191,18,68,18,15
194,59,68,16,16
192,56,68,19,17
193,56,68,20,18
161,50,68,3,19
184,7,68,1,20
156,38,69,6,1
140,61,69,11,2
180,59,69,4,3
184,7,69,1,4
187,11,69,9,5
103,60,69,8,6
194,59,69,7,7
173,7,69,5,8
157,11,69,13,9
107,57,69,14,10
181,57,69,20,11
161,50,69,10,12
193,56,69,17,13
192,56,69,18,14
136,50,69,2,15
191,18,69,16,16
